title,company,location,salary,skills,url,skills_normalized
Staff Pajak,Asta Dahayu Consulting,Menteng,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/316b14ec-aeb8-474d-a7eb-a521f4ef2830?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT. Citra Alam Aromindo,Batuceper,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/ea025e6d-6ed1-4c16-a09a-7d46f4682c18?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT. Kamil Group Indonesia,Sidoarjo,"Rp 2,5 jt-4 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/a31458b3-7606-4e8f-a0f2-ead3c80f5a9f?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT Duta Trisarana Prima,Dukuh Pakis,"Rp 3,9 jt-4 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/7b2984f4-2519-4d75-a4da-7594b0f62255?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staf Pajak,Warna Textile,Cibeunying Kidul,Rp 3 jt-4 jt,,https://glints.com/id/opportunities/jobs/staf-pajak/45ed9708-6404-48cc-b061-cad25c4807e1?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT. Terang Cahaya Abadi Sejati,Panyileukan,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/0c9f6b9b-cf21-43f5-a694-ff9754ac135f?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,Arcadia Group,Baki,Rp 2 jt-3 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/a2eed929-76ff-4d8a-b49f-1d4f347aea34?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,Baliyoni Group,Denpasar Selatan,"Rp 3 jt-3,2 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/667abb3a-8f82-4a10-8722-fcca280ccc16?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
STAFF PAJAK,PT Bumi Mandiri Resources,Asem Rowo,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/46f97ab2-0944-4edb-abcb-814ce1f25497?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT. Anugerah Putra Siantan,Singosari,Rp 3 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/c048c196-6596-44b9-ade0-0395fbc409e4?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
staff pajak,PT GAGACLO,Ngaliyan,"Rp 3,7 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/93bced11-90fa-43a0-aacd-d17bfcaa9b54?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT. Industrial Multi Fan,Penjaringan,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/e3bfdd7f-2ef9-42db-88d2-399b2bd064f1?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,Eraprima Eftacipta Property,Batuceper,"Rp 6 jt-7,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/b519e6dc-45de-4c14-9898-c39a33dd78de?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT Asia Bewickham Consulting,Kosambi,Rp 6 jt-8 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/8be07676-93e3-43c6-93c1-f4eb6433bb2b?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
staff pajak,pt. donmi,Cengkareng,"Rp 4,4 jt-6 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/37abc357-7f4e-4e2c-a69c-9ea8a23ea367?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
Staff Pajak,PT SAMSUNG PRINT AND PACK,Gunung Putri,Rp 7 jt-8 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/afdb0dbc-fdc1-4f9f-aa59-62011f6ca3bf?utm_referrer=explore&traceInfo=251f7850-062f-427f-8052-0846b5c92442,
